company_name,col_name,min_cont_length,horizon,model_name,MAE,MdAE,RMSE,MASE,MdASE
A,NormSpend,13,1,arima3,0.220365,0.161355,0.297231,0.854957,0.817064
A,NormSpend,13,1,arima6,0.289688,0.211109,0.391700,1.123914,1.069006
A,NormSpend,13,1,arma3,0.213946,0.156853,0.286148,0.830053,0.794270
A,NormSpend,13,1,arma6,0.282761,0.210171,0.379823,1.097036,1.064256
A,NormSpend,13,1,flstm32,0.232266,0.147313,0.320036,0.901131,0.745960
A,NormSpend,13,1,flstm32bv,0.246557,0.164938,0.335812,0.956576,0.835211
A,NormSpend,13,1,flstm8,0.236682,0.147959,0.325597,0.918265,0.749233
A,NormSpend,13,1,flstm8bv,0.221014,0.141946,0.307265,0.857477,0.718784
A,NormSpend,13,1,lstm16,0.183937,0.139192,0.246182,0.713628,0.704837
A,NormSpend,13,1,lstm16b,0.186152,0.152113,0.239100,0.722222,0.770268
A,NormSpend,13,1,lstm32,0.182599,0.136112,0.244188,0.708438,0.689238
A,NormSpend,13,1,lstm32b,0.184158,0.146280,0.241314,0.714484,0.740731
A,NormSpend,13,1,lstm32bf,0.198963,0.134529,0.277768,0.771922,0.681226
A,NormSpend,13,1,lstm32bv,0.188723,0.160247,0.239219,0.732195,0.811456
A,NormSpend,13,1,lstm32f,0.232266,0.147313,0.320036,0.901131,0.745960
A,NormSpend,13,1,lstm4,0.184912,0.143997,0.246004,0.717410,0.729170
A,NormSpend,13,1,lstm4b,0.184188,0.145933,0.242913,0.714601,0.738974
A,NormSpend,13,1,lstm8,0.183812,0.137949,0.246447,0.713142,0.698541
A,NormSpend,13,1,lstm8b,0.189631,0.157582,0.244798,0.735716,0.797957
A,NormSpend,13,1,lstm8bf,0.190298,0.139764,0.261845,0.738307,0.707731
A,NormSpend,13,1,lstm8bv,0.193490,0.158178,0.251087,0.750689,0.800978
A,NormSpend,13,1,lstm8f,0.236682,0.147959,0.325597,0.918265,0.749233
A,NormSpend,13,1,naive,0.230932,0.166883,0.314091,0.895954,0.845060
A,NormSpend,13,3,arima3,0.227951,0.174009,0.304324,0.797957,0.789770
A,NormSpend,13,3,arima6,0.288432,0.202929,0.415274,1.009672,0.921029
A,NormSpend,13,3,arma3,0.209317,0.159412,0.279749,0.732728,0.723519
A,NormSpend,13,3,arma6,0.275733,0.198197,0.373438,0.965219,0.899555
A,NormSpend,13,3,flstm32,0.240986,0.152723,0.334080,0.843587,0.693161
A,NormSpend,13,3,flstm32bv,0.264293,0.180023,0.360223,0.925173,0.817066
A,NormSpend,13,3,flstm8,0.237163,0.146001,0.330615,0.830202,0.662651
A,NormSpend,13,3,flstm8bv,0.237667,0.149193,0.330404,0.831968,0.677141
A,NormSpend,13,3,lstm16,0.198286,0.166100,0.252637,0.694113,0.753873
A,NormSpend,13,3,lstm16b,0.201327,0.170622,0.254246,0.704757,0.774399
A,NormSpend,13,3,lstm32,0.196902,0.164932,0.252458,0.689266,0.748573
A,NormSpend,13,3,lstm32b,0.199595,0.170884,0.250143,0.698694,0.775589
A,NormSpend,13,3,lstm32bf,0.214135,0.144944,0.298137,0.749591,0.657854
A,NormSpend,13,3,lstm32bv,0.194381,0.162005,0.251000,0.680444,0.735290
A,NormSpend,13,3,lstm32f,0.240986,0.152723,0.334080,0.843587,0.693161
A,NormSpend,13,3,lstm4,0.201041,0.173116,0.253109,0.703755,0.785719
A,NormSpend,13,3,lstm4b,0.197861,0.162200,0.252653,0.692624,0.736174
A,NormSpend,13,3,lstm8,0.197442,0.164653,0.252505,0.691156,0.747306
A,NormSpend,13,3,lstm8b,0.195248,0.162452,0.250670,0.683477,0.737318
A,NormSpend,13,3,lstm8bf,0.198238,0.147969,0.266023,0.693944,0.671586
A,NormSpend,13,3,lstm8bv,0.205303,0.173812,0.258530,0.718675,0.788879
A,NormSpend,13,3,lstm8f,0.237163,0.146001,0.330615,0.830202,0.662651
A,NormSpend,13,3,naive,0.248942,0.186776,0.334697,0.871436,0.847716
A,NormSpend,13,6,arima3,0.264443,0.201570,0.348555,0.892712,0.897386
A,NormSpend,13,6,arima6,0.356335,0.237958,0.569302,1.202924,1.059383
A,NormSpend,13,6,arma3,0.236543,0.184222,0.311211,0.798529,0.820152
A,NormSpend,13,6,arma6,0.304365,0.224981,0.416543,1.027482,1.001611
A,NormSpend,13,6,flstm32,0.261158,0.161477,0.358037,0.881624,0.718893
A,NormSpend,13,6,flstm32bv,0.280087,0.186818,0.380503,0.945526,0.831708
A,NormSpend,13,6,flstm8,0.255931,0.156584,0.351237,0.863978,0.697110
A,NormSpend,13,6,flstm8bv,0.258971,0.159311,0.355183,0.874239,0.709249
